Abstract,Author Keywords
"The increase in people’s use of mobile messaging services has led to the spread of social engineering attacks like phishing, considering that spam text is one of the main factors in the dissemination of phishing attacks to steal sensitive data such as credit cards and passwords. In addition, rumors and incorrect medical information regarding the COVID-19 pandemic are widely shared on social media leading to people’s fear and confusion. Thus, filtering spam content is vital to reduce risks and threats. Previous studies relied on machine learning and deep learning approaches for spam classification, but these approaches have two limitations. Machine learning models require manual feature engineering, whereas deep neural networks require a high computational cost. This paper introduces a dynamic deep ensemble model for spam detection that adjusts its complexity and extracts features automatically. The proposed model utilizes convolutional and pooling layers for feature extraction along with base classifiers such as random forests and extremely randomized trees for classifying texts into spam or legitimate ones. Moreover, the model employs ensemble learning procedures like boosting and bagging. As a result, the model achieved high precision, recall, f1-score and accuracy of 98.38%. © 2022, The Author(s).",Deep learning; Ensemble methods; Machine learning; Spam classification; Text messages
"Since the COVID-19 pandemic, several research studies have proposed Deep Learning (DL)-based automated COVID-19 detection, reporting high cross-validation accuracy when classifying COVID-19 patients from normal or other common Pneumonia. Although the reported outcomes are very high in most cases, these results were obtained without an independent test set from a separate data source(s). DL models are likely to overfit training data distribution when independent test sets are not utilized or are prone to learn dataset-specific artifacts rather than the actual disease characteristics and underlying pathology. This study aims to assess the promise of such DL methods and datasets by investigating the key challenges and issues by examining the compositions of the available public image datasets and designing different experimental setups. A convolutional neural network-based network, called CVR-Net (COVID-19 Recognition Network), has been proposed for conducting comprehensive experiments to validate our hypothesis. The presented end-to-end CVR-Net is a multi-scale-multi-encoder ensemble model that aggregates the outputs from two different encoders and their different scales to convey the final prediction probability. Three different classification tasks, such as 2-, 3-, 4-classes, are designed where the train–test datasets are from the single, multiple, and independent sources. The obtained binary classification accuracy is 99.8% for a single train–test data source, where the accuracies fall to 98.4% and 88.7% when multiple and independent train–test data sources are utilized. Similar outcomes are noticed in multi-class categorization tasks for single, multiple, and independent data sources, highlighting the challenges in developing DL models with the existing public datasets without an independent test set from a separate dataset. Such a result concludes a requirement for a better-designed dataset for developing DL tools applicable in actual clinical settings. The dataset should have an independent test set; for a single machine or hospital source, have a more balanced set of images for all the prediction classes; and have a balanced dataset from several hospitals and demography. Our source codes and model are publicly available1 for the research community for further improvements. © 2022 The Authors",Chest computed tomography and X-ray; Convolutional neural networks; COVID-19 disease; Ensemble classifier
"Electronic Health Records (EHRs) are the digital form of patients’ medical reports or records. EHRs facilitate advanced analytics and aid in better decision-making for clinical data. Medical data are very complicated and using one classification algorithm to reach good results is difficult. For this reason, we use a combination of classification techniques to reach an efficient and accurate classification model. This model combination is called the Ensemble model. We need to predict new medical data with a high accuracy value in a small processing time. We propose a new ensemble model MDRL which is efficient with different datasets. The MDRL gives the highest accuracy value. It saves the processing time instead of processing four different algorithms sequentially; it executes the four algorithms in parallel. We implement five different algorithms on five variant datasets which are Heart Disease, Health General, Diabetes, Heart Attack, and Covid-19 Datasets. The four algorithms are Random Forest (RF), Decision Tree (DT), Logistic Regression (LR), and Multi-layer Perceptron (MLP). In addition to MDRL (our proposed ensemble model) which includes MLP, DT, RF, and LR together. From our experiments, we conclude that our ensemble model has the best accuracy value for most datasets. We reach that the combination of the Correlation Feature Selection (CFS) algorithm and our ensemble model is the best for giving the highest accuracy value. The accuracy values for our ensemble model based on CFS are 98.86, 97.96, 100, 99.33, and 99.37 for heart disease, health general, Covid-19, heart attack, and diabetes datasets respectively. © 2022 Tech Science Press. All rights reserved.",correlation feature selection (CFS); Decision tree (DT); Electronic health records (EHRs); linear model (LR); MDRL; Multi-layer Perceptron (MLP); Random forest (RF)
"The COVID-19 virus has spread rapidally throughout the world. Managing resources is one of the biggest challenges that healthcare providers around the world face during the pandemic. Allocating the Intensive Care Unit (ICU) beds' capacity is important since COVID-19 is a respiratory disease and some patients need to be admitted to the hospital with an urgent need for oxygen support, ventilation, and/or intensive medical care. In the battle against COVID-19, many governments utilized technology, especially Artificial Intelligence (AI), to contain the pandemic and limit its hazardous effects. In this paper, Machine Learning models (ML) were developed to help in detecting the COVID-19 patients’ need for the ICU and the estimated duration of their stay. Four ML algorithms were utilized: Random Forest (RF), Gradient Boosting (GB), Extreme Gradient Boosting (XGBoost), and Ensemble models were trained and validated on a dataset of 895 COVID-19 patients admitted to King Fahad University hospital in the eastern province of Saudi Arabia. The conducted experiments show that the Length of Stay (LoS) in the ICU can be predicted with the highest accuracy by applying the RF model for prediction, as the achieved accuracy was 94.16%. In terms of the contributor factors to the length of stay in the ICU, correlation results showed that age, C-Reactive Protein (CRP), nasal oxygen support days are the top related factors. By searching the literature, there is no published work that used the Saudi Arabia dataset to predict the need for ICU with the number of days needed. This contribution is hoped to pave the path for hospitals and healthcare providers to manage their resources more efficiently and to help in saving lives. © 2022 The Authors",Coronavirus disease 2019 (COVID-19); Intensive care unit (ICU); Length of stay (LoS); Machine learning (ML); Predation; Resource management
"COVID-19 has caused havoc globally due to its transmission pace among the inhabitants and prolific rise in the number of people contracting the disease worldwide. As a result, the number of people seeking information about the epidemic via Internet media has increased. The impact of the hysteria that has prevailed makes people believe and share everything related to illness without questioning its truthfulness. As a result, it has amplified the misinformation spread on social media networks about the disease. Today, there is an immediate need to restrict disseminating false news, even more than ever before. This paper presents an early fusion-based method for combining key features extracted from context-based embeddings such as BERT, XLNet, and ELMo to enhance context and semantic information collection from social media posts and achieve higher accuracy for false news identification. From the observation, we found that the proposed early fusion-based method outperforms models that work on single embeddings. We also conducted detailed studies using several machine learning and deep learning models to classify misinformation on social media platforms relevant to COVID-19. To facilitate our work, we have utilized the dataset of “CONSTRAINT shared task 2021”. Our research has shown that language and ensemble models are well adapted to this role, with a 97% accuracy. © 2022, The Author(s).",Contextual embedding; COVID-19; Fake news; Machine learning; Social networks; Voting classifier
"Introduction: While the coronavirus only persists marginally for 95% of the infected cases, the remaining 5% are in critical or life-threatening conditions. This study aimed to design an intelligent model that predicts the severity level of the disease by modeling the relationships between the COVID-19 infection severity and the various demographic/clinical features of individuals. Materials and methods: A public dataset of a cross-sectional study including the demographic and symptomatological characteristics of 223 COVID-19 patients was used and randomly partitioned into training (75%) and testing (25%) datasets. During training, the class imbalance problem was solved, and the related factors with the COVID-19 severity were selected using the evolutionary method supported by a genetic algorithm. Neural Network (NN), Support Vector Machine (SVM), QUEST algorithms together with confidence weighted voting, voting, and highest confidence wins strategies (HCWS) were constructed, and the predictive power of models was determined by performance metrics. Results: Based on the performance indicators, among the individual models, the NN model outperformed SVM and QUEST algorithms in the training and testing datasets. However, ensemble approaches gave better predictions as compared to individual models according to all the evaluation metrics. Conclusion: The proposed voting ensemble model outperforms other ensemble and individual machine learning approaches for the severity prediction of COVID-19 disease. The proposed ensemble learning model can be integrated into web or mobile applications to classify the severity of COVID-19 for clinical decision support. © 2022 A. CARBONE Editore. All rights reserved.",Classification; COVID-19 severity; ensemble learning; machine learning; prediction
"The rapid spread of the COVID-19 has not only affected personal health and economy, but also revolutionized people's lifestyles. As more people turn to work and socialize online, the development of unmanned technologies based on the Internet of Vehicles (IoV), such as unmanned delivery, unmanned vehicles, unmanned transportation, etc., will become an inevitable trend. However, all kinds of intelligent terminals for unmanned equipment require a large amount of data interaction with devices such as cloud servers, mobile terminals, and roadside terminals, which poses cyber security risks. Furthermore, the outbreak of COVID-19 has prompted people to put forward higher demands for the security of network communications. Unfortunately, the current intrusion detection methods based on machine learning still have weaknesses such as low accuracy and low efficiency when faced with unbalanced data distribution. To solve the above problems, we propose a novel Tree-based BLS (TBLS) intrusion detection method according to the idea of ensemble learning and decision tree (CART and J48). The performance of TBLS was tested on the NSL-KDD dataset and the UNSW-NB15 dataset respectively, which contain a variety of malicious traffic types for attacks on the IoV. The results show that our proposed method can achieve higher accuracy rate and lower false alarm rate, compared with the existing 16 solutions. IEEE",Anomaly detection; broad learning system (BLS); COVID-19; decision trees; ensemble learning.; Feature extraction; Intrusion detection; Intrusion detection; Learning systems; Training; Vehicular ad hoc networks
"Coronavirus disease (COVID-19) is a viral infection caused by SARS-CoV-2. The modalities such as computed tomography (CT) have been successfully utilized for the early stage diagnosis of COVID-19 infected patients. Recently, many researchers have utilized deep learning models for the automated screening of COVID-19 suspected cases. An ensemble deep learning and Internet of Things (IoT) based framework is proposed for screening of COVID-19 suspected cases. Three well-known pretrained deep learning models are ensembled. The medical IoT devices are utilized to collect the CT scans, and automated diagnoses are performed on IoT servers. The proposed framework is compared with thirteen competitive models over a four-class dataset. Experimental results reveal that the proposed ensembled deep learning model yielded 98.98% accuracy. Moreover, the model outperforms all competitive models in terms of other performance metrics achieving 98.56% precision, 98.58% recall, 98.75% F-score, and 98.57% AUC. Therefore, the proposed framework can improve the acceleration of COVID-19 diagnosis. © 2022 Anita S. Kini et al.",
"The spread of the COVID-19 disease has prompted a need for immediate reaction by governments to curb the pandemic. Many countries have adopted different policies and studies are performed to understand the effect of each of the policies on the growth rate of the infected cases. In this article, the data about the policies taken by all countries at each date, and the effect of the policies on the growth rate of the pandemic are used to build a model of the pandemic's behavior. The model takes as input a set of policies and predicts the growth rate of the pandemic. Then, a population-based multiobjective optimization algorithm is developed, which uses the model to search through the policy space and finds a set of policies that minimize the cost induced to the society due to the policies and the growth rate of the pandemic. Because of the complexity of the modeling problem and the uncertainty in measuring the growth rate of the pandemic via the models, an ensemble learning algorithm is proposed in this article to improve the performance of individual learning algorithms. The ensemble consists of ten learning algorithms and a metamodel algorithm that is built to predict the accuracy of each learning algorithm for a given data record. The metamodel is a set of support vector machine (SVM) algorithms that is used in the aggregation phase of the ensemble algorithm. Because there is uncertainty in measuring the growth rate via the models, a landscape smoothing operator is proposed in the optimization process, which aims at reducing uncertainty. The algorithm is tested on open access data online and experiments on the ensemble learning and the policy optimization algorithms are performed. IEEE",COVID-19; Ensemble learning; epidemiology COVID-19; evolutionary algorithms; Neural networks; Optimization; optimization; Pandemics; policy making; Prediction algorithms; Predictive models; Uncertainty
"The COVID-19 pandemic has essentially transformed the way of leading a life for millions of people across the world. As offices remained closed for months, employees expressed conflicting sentimental analysis on the workfrom-home culture. People worldwide use social media platforms such as Twitter to talk about their daily lives madea trend in the online platform. This research study aims to gauge the public's sentiment on working from home/ remotelocations during the COVID-19 pandemic by tracking their opinions on Twitter. The existing random forest modeltrained the data faster but failed to predict the results faster. Therefore, an ensemble model is proposed to predict anoutcome using a distinct modeling algorithm. An ensemble classifier has been used for enhancing the performancesusing the base learning classifiers such as Naive Bayes (NB), Random Forest (RF), Support Vector Machine (SVM),Logistic Regression (LR) form an Ensemble classifier. The proposed ensemble model aggregates each base model forthe prediction and results for the unseen data. These tokens are then passed to the Ensemble classifier that classifiesthe sentiments and assigns a polarity (positive, negative, neutral) to every tweet. The proposed Ensemble methodimprove the average prediction performance over any contributing member in the ensemble. The results obtained bythe proposed Ensemble model reached accuracy of 97.47 % when compared to the existing models such as DeepLSTM, SVM model that obtained accuracy of 83 %, 84.46 % © 2022,International Journal of Intelligent Engineering and Systems. All Rights Reserved.",Covid-19 pandemic; Ensemble model; Sentiment analysis; Twitter; Work-from-home
"Electricity demand forecast is necessary for power systems' operation scheduling and management. However, power consumption is uncertain and depends on several factors. Moreover, since the onset of covid-19, the electricity consumption pattern went through significant changes across the globe, which made the forecasting demand more challenging. This is mainly due to the fact that pandemic-driven restrictions changed people's lifestyles and work activities. This calls for new forecasting algorithms to more effectively handle these conditions. In this paper, ensemble-based machine learning models are utilized for this task. The lockdown temporal policies are added to the feature set in order to make the model capable of correcting itself in pandemic situations and enhance data quality for the forecasting task. Several ensemble-based machine learning models are examined for the short-term country-level demand prediction model. Besides, the quantile random forest regression is implemented for a probabilistic point of view. For case studies, the models are trained for predicting Germany's country-level demand. The results indicate that ensemble models, especially boosting and bagging-boosting models, are capable of accurate country-level demand forecast. Besides, the majority of these models are robust against missing the pandemic policy data. However, utilizing the pandemic policy data as features increases the forecasting accuracy during the pandemic situation significantly. Furthermore, the probabilistic quantile regression demonstrated high accuracy for the aforementioned case study. © 2013 IEEE.",COVID-19 pandemic; Decision tree ensembles; Demand forecasting; Machine learning; Probabilistic
"Corticosteroid has been proved to be one of the few effective treatments for COVID-19 patients. However, not all the patients were suitable for corticosteroid therapy. In this study, we aimed to propose a machine learning model to forecast the response to corticosteroid therapy in COVID-19 patients. We retrospectively collected the clinical data about 666 COVID-19 patients receiving corticosteroid therapy between January 27, 2020, and March 30, 2020, from two hospitals in China. The response to corticosteroid therapy was evaluated by hospitalization time, oxygen supply duration, and the outcomes of patients. Least Absolute Shrinkage and Selection Operator (LASSO) was applied for feature selection. Five prediction models were applied in the training cohort and assessed in an internal and an external validation dataset, respectively. Finally, two (C reactive protein, lymphocyte percent) of 36 candidate immune/inflammatory features were finally used for model development. All five models displayed promising predictive performance. Notably, the ensemble model, PRCTC (prediction of response to corticosteroid therapy in COVID-19 patients), derived from three prediction models including Gradient Boosted Decision Tree (GBDT), Neural Network (NN), and logistic regression (LR), achieved the best performance with an area under the curve (AUC) of 0.810 (95% confidence interval [CI] 0.760-0.861) in internal validation cohort and 0.845 (95% CI 0.779-0.911) in external validation cohort to predict patients' response to corticosteroid therapy. In conclusion, PRCTC proposed with universality and scalability is hopeful to provide tangible and prompt clinical decision support in management of COVID-19 patients and potentially extends to other medication predictions. © 2022. Gao et al. All Rights Reserved.",C reactive protein; corticosteroid; COVID-19; lymphocyte percent; machine learning
"Novel coronavirus (COVID-19) has been endangering human health and life since 2019. The timely quarantine, diagnosis, and treatment of infected people are the most necessary and important work. The most widely used method of detecting COVID-19 is real-time polymerase chain reaction (RT-PCR). Along with RT-PCR, computed tomography (CT) has become a vital technique in diagnosing and managing COVID-19 patients. COVID-19 reveals a number of radiological signatures that can be easily recognized through chest CT. These signatures must be analyzed by radiologists. It is, however, an error-prone and time-consuming process. Deep Learning-based methods can be used to perform automatic chest CT analysis, which may shorten the analysis time. The aim of this study is to design a robust and rapid medical recognition system to identify positive cases in chest CT images using three Ensemble Learning-based models. There are several techniques in Deep Learning for developing a detection system. In this paper, we employed Transfer Learning. With this technique, we can apply the knowledge obtained from a pre-trained Convolutional Neural Network (CNN) to a different but related task. In order to ensure the robustness of the proposed system for identifying positive cases in chest CT images, we used two Ensemble Learning methods namely Stacking and Weighted Average Ensemble (WAE) to combine the performances of three fine-tuned Base-Learners (VGG19, ResNet50, and DenseNet201). For Stacking, we explored 2-Levels and 3-Levels Stacking. The three generated Ensemble Learning-based models were trained on two chest CT datasets. A variety of common evaluation measures (accuracy, recall, precision, and F1-score) are used to perform a comparative analysis of each method. The experimental results show that the WAE method provides the most reliable performance, achieving a high recall value which is a desirable outcome in medical applications as it poses a greater risk if a true infected patient is not identified. © 2022 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https:// creativecommons.org/licenses/by/ 4.0/).",Convolutional neural network; Coronavirus detection; Deep learning; Stacking; Transfer learning; Weighted average ensemble
"With COVID-19 affecting every country globally and changing everyday life, the ability to forecast the spread of the disease is more important than any previous epidemic. The conventional methods of disease-spread modeling, compartmental models, are based on the assumption of spatiotemporal homogeneity of the spread of the virus, which may cause forecasting to underperform, especially at high spatial resolutions. In this paper, we approach the forecasting task with an alternative technique—spatiotemporal machine learning. We present COVID-LSTM, a data-driven model based on a long short-term memory deep learning architecture for forecasting COVID-19 incidence at the county level in the USA. We use the weekly number of new positive cases as temporal input, and hand-engineered spatial features from Facebook movement and connectedness datasets to capture the spread of the disease in time and space. COVID-LSTM outperforms the COVID-19 Forecast Hub’s Ensemble model (COVIDhub-ensemble) on our 17-week evaluation period, making it the first model to be more accurate than the COVIDhub-ensemble over one or more forecast periods. Over the 4-week forecast horizon, our model is on average 50 cases per county more accurate than the COVIDhub-ensemble. We highlight that the underutilization of data-driven forecasting of disease spread prior to COVID-19 is likely due to the lack of sufficient data available for previous diseases, in addition to the recent advances in machine learning methods for spatiotemporal forecasting. We discuss the impediments to the wider uptake of data-driven forecasting, and whether it is likely that more deep learning-based models will be used in the future. © 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG.",COVID-19; Geospatial artificial intelligence; LSTM; Spatiotemporal machine learning
"The World Health Organization declared the novel coronavirus disease 2019 a pandemic on March 11, 2020. Along with the coronavirus pandemic, a new crisis has emerged, characterized by widespread fear and panic caused by a lack of information or, in some cases, outright fake messages. In these circumstances, Twitter is one of the most eminent and trusted social media platforms. Fake tweets, on the other hand, are challenging to detect and differentiate. The primary goal of this paper is to educate society about the importance of accurate information and prevent the spread of fake information. This paper has investigated COVID-19 fake data from various social media platforms such as Twitter, Facebook, and Instagram. The objective of this paper is to categorize given tweets as either fake or real news. The authors have tested various deep learning models on the COVID-19 fake dataset. Finally, the CT-BERT and RoBERTa deep learning models outperformed other deep learning models like BERT, BERTweet, AlBERT, and DistlBERT. The proposed ensemble deep learning architecture outperformed CT-BERT and RoBERTa on the COVID-19 fake news dataset using the multiplicative fusion technique. The proposed model’s performance in this technique was determined by the multiplicative product of the final predictive values of CT-BERT and RoBERTa. This technique overcomes the disadvantage of these CT-BERT and RoBERTa models’ incorrect predictive nature. The proposed architecture outperforms both well-known ML and DL models, with 98.88% accuracy and a 98.93% F1-score. © 2022, The Author(s), under exclusive licence to EDP Sciences, Springer-Verlag GmbH Germany, part of Springer Nature.",
"It has been declared by the World Health Organization (WHO) the novel coronavirus a global pandemic due to an exponential spread in COVID-19 in the past months reaching over 100 million cases and resulting in approximately 3 million deaths worldwide. Amid this pandemic, identification of cyberbullying has become a more evolving area of research over posts or comments in social media platforms. In multilingual societies like India, code-switched texts comprise the majority of the Internet. Identifying the online bullying of the code-switched user is bit challenging than monolingual cases. As a first step towards enabling the development of approaches for cyberbullying detection, we developed a new code-switched dataset, collected from Twitter utterances annotated with binary labels. To demonstrate the utility of the proposed dataset, we build different machine learning (Support Vector Machine & Logistic Regression) and deep learning (Multilayer Perceptron, Convolution Neural Network, BiLSTM, BERT) algorithms to detect cyberbullying of English-Hindi (En-Hi) code-switched text. Our proposed model integrates different hand-crafted features and is enriched by sequential and semantic patterns generated by different state-of-the-art deep neural network models. Initial experimental results of the proposed deep ensemble model on our code-switched data reveal that our approach yields state-of-the-art results, i.e., 0.93 in terms of macro-averaged F1 score. The dataset and codes of the present study will be made publicly available on the paper’s companion repository [https://github.com/95sayanta/COVID-19-and-Cyberbullying]. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Code-switched language; Cyberbullying; Deep ensemble; Natural language processing
"Coronavirus disease-19 (COVID-19) has rapidly spread all over the world. It is found that the low sensitivity of reverse transcription-polymerase chain reaction (RT-PCR) examinations during the early stage of COVID-19 disease. Thus, efficient models are desirable for early-stage testing of COVID-19 infected patients. Chest X-ray (CXR) images of COVID-19 infected patients have shown some bilateral changes. In this paper, deep transfer learning and a deep forest-based model are proposed to diagnose COVID-19 infection from CXR images. Initially, features of X-ray images are extracted using the well-known deep transfer learning model (i.e., ResNet101), which does not require tuning many parameters compared to the deep convolutional neural network (CNN). After that, the deep forest model is utilised to predict COVID-19 infected patients. The deep forest is based upon ensemble learning and requires a small number of hyper-parameters. Additionally, the proposed model is trained on a multi-class dataset that contains four different classes as COVID-19 (+), pneumonia, tuberculosis, and healthy patients. The comparisons are drawn among the proposed deep transfer learning and deep forest-based models, the competitive models. The obtained results show that the proposed model effectively diagnoses COVID-19 infection with an accuracy of 99.4%. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",CNN; COVID-19; deep forest; deep learning; ResNet101; testing
"Reliable modeling of novel commutative cases of COVID-19 (CCC) is essential for determining hospitalization needs and providing the benchmark for health-related policies. The current study proposes multi-regional modeling of CCC cases for the first scenario using autoregressive integrated moving average (ARIMA) based on automatic routines (AUTOARIMA), ARIMA with maximum likelihood (ARIMAML), and ARIMA with generalized least squares method (ARI-MAGLS) and ensembled (ARIMAML-ARIMAGLS). Subsequently, different deep learning (DL) models viz: long short-term memory (LSTM), random forest (RF), and ensemble learning (EML) were applied to the second scenario to predict the effect of forest knowledge (FK) during the COVID-19 pandemic. For this purpose, augmented Dickey–Fuller (ADF) and Phillips–Perron (PP) unit root tests, autocorrelation function (ACF), partial autocorrelation function (PACF), Schwarz information criterion (SIC), and residual diagnostics were considered in determining the best ARIMA model for cumulative COVID-19 cases (CCC) across multi-region countries. Seven different performance criteria were used to evaluate the accuracy of the models. The obtained results justified both types of ARIMA model, with ARIMAGLS and ensemble ARIMA demonstrating superiority to the other models. Among the DL models analyzed, LSTM-M1 emerged as the best and most reliable estimation model, with both RF and LSTM attaining more than 80% prediction accuracy. While the EML of the DL proved merit with 96% accuracy. The outcomes of the two scenarios indicate the superiority of ARIMA time series and DL models in further decision making for FK. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",ARIMA; Artificial intelligence; Ensemble ARIMA; Forest knowledge; Prediction
"Coronavirus disease 2019 (COVID-19) has spread worldwide, and medicinal resources have become inadequate in several regions. Computed tomography (CT) scans are capable of achieving precise and rapid COVID-19 diagnosis compared to the RT-PCR test. At the same time, artificial intelligence (AI) techniques, including machine learning (ML) and deep learning (DL), find it useful to design COVID-19 diagnoses using chest CT scans. In this aspect, this study concentrates on the design of an artificial intelligence-based ensemble model for the detection and classification (AIEM-DC) of COVID-19. The AIEM-DC technique aims to accurately detect and classify the COVID-19 using an ensemble of DL models. In addition, Gaussian filtering (GF)-based preprocessing technique is applied for the removal of noise and improve image quality. Moreover, a shark optimization algorithm (SOA) with an ensemble of DL models, namely recurrent neural networks (RNN), long short-term memory (LSTM), and gated recurrent unit (GRU), is employed for feature extraction. Furthermore, an improved bat algorithm with a multiclass support vector machine (IBA-MSVM) model is applied for the classification of CT scans. The design of the ensemble model with optimal parameter tuning of the MSVM model for COVID-19 classification shows the novelty of the work. The effectiveness of the AIEM-DC technique take place on benchmark CT image data set, and the results reported the promising classification performance of the AIEM-DC technique over the recent state-of-the-art approaches. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",COVID-19; Deep learning; Ensemble models; Machine learning; Metaheuristics
"According to the World Health Organization (WHO), wearing a face mask is one of the most effective protections from airborne infectious diseases such as COVID-19. Since the spread of COVID-19, infected countries have been enforcing strict mask regulation for indoor businesses and public spaces. While wearing a mask is a requirement, the position and type of the mask should also be considered in order to increase the effectiveness of face masks, especially at specific public locations. However, this makes it difficult for conventional facial recognition technology to identify individuals for security checks. To solve this problem, the Spartan Face Detection and Facial Recognition System with stacking ensemble deep learning algorithms is proposed to cover four major issues: Mask Detection, Mask Type Classification, Mask Position Classification and Identity Recognition. CNN, AlexNet, VGG16, and Facial Recognition Pipeline with FaceNet are the Deep Learning algorithms used to classify the features in each scenario. This system is powered by five components including training platform, server, supporting frameworks, hardware, and user interface. Complete unit tests, use cases, and results analytics are used to evaluate and monitor the performance of the system. The system provides cost-efficient face detection and facial recognition with masks solutions for enterprises and schools that can be easily applied on edge-devices. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",COVID-19; Deep learning; Ensemble model; Facial recognition; Masked face
"We propose an ensemble learning methodology to forecast the future US GDP growth release. Our approach combines a Recurrent Neural Network (RNN) and a Dynamic Factor model accounting for time-variation in the mean with a Generalized Autoregressive Score (DFM-GAS). We show how our approach improves forecasts in the aftermath of the 2008-09 global financial crisis by reducing the forecast error for the one-quarter horizon. An exercise on the COVID-19 recession shows a good performance during the economic rebound. Eventually, we provide an interpretable machine learning routine based on integrated gradients to evaluate how the features of the model reflect the evolution of the business cycle. © 2021 Elsevier B.V.",COVID-19 crisis; Dynamic factor model; Machine learning; Macroeconomic forecasting; Neural networks
"COVID-19 pandemic has affected more than 144 million people and spread to over 200 countries. The prediction of COVID-19 behaviour and trend is crucial to prevent its spreading. Kingdom of Saudi Arabia (KSA) is Asia’s fifth largest country, and it hosts the two holiest cities of the Islamic world. KSA hosts millions of pilgrims every year, and it is of great importance to predict the COV-ID-19 spread to organize these religious activities and bring life to normality in KSA. This study proposes four tree-based ensemble methods to predict the COV-ID-19 daily new cases in KSA. Tree-based ensemble methods are suggested to reduce the variance and/or bias of inconsistent models. The four models utilized in the study are Gradient Tree Boosting (GB), Random Forest (RF), Extreme Gradient Boosting (XGBoost) and Voting Regressor (VR). The study is conducted using “Our Data in World” (OWID) COVID-19 dataset from the first confirmed case in KSA, i.e., 2nd March 2020 to 14th April 2021. The results suggest that the tree-based ensemble models provide a good prediction of daily COVID-19 new cases and can follow the trend of COVID-19. Among the models, XGBoost and VR performed better than the other three models with the best evaluation metric scores (MAE:4.41, RMSE:7.11, MAPE:0.95%). The significant prediction power of the tree-based ensemble methods, especially XGBoost can provide the platform for policymakers to put strategic plans for the closure periods of the educational institutions and organize Hajj and Umrah. © 2022, Tech Science Press. All rights reserved.",Coronavirus; COVID-19; Health; Prediction; Saudi Arabia
"COVID-19 is a growing problem worldwide with a high mortality rate. As a result, the World Health Organization (WHO) declared it a pandemic. In order to limit the spread of the disease, a fast and accurate diagnosis is required. A reverse transcript polymerase chain reaction (RT-PCR) test is often used to detect the disease. However, since this test is time-consuming, a chest computed tomography (CT) or plain chest X-ray (CXR) is sometimes indicated. The value of automated diagnosis is that it saves time and money by minimizing human effort. Three significant contributions are made by our research. Its initial purpose is to use the essential finetuning methodology to test the action and efficiency of a variety of vision models, ranging from Inception to Neural Architecture Search (NAS) networks. Second, by plotting class activation maps (CAMs) for individual networks and assessing classification efficiency with AUC-ROC curves, the behavior of these models is visually analyzed. Finally, stacked ensembles techniques were used to provide greater generalization by combining finetuned models with six ensemble neural networks. Using stacked ensembles, the generalization of the models improved. Furthermore, the ensemble model created by combining all of the finetuned networks obtained a state-of-the-art COVID-19 accuracy detection score of 99.17%. The precision and recall rates were 99.99% and 89.79%, respectively, highlighting the robustness of stacked ensembles. The proposed ensemble approach performed well in the classification of the COVID-19 lesions on CXR according to the experimental results. © 2022 Tech Science Press. All rights reserved.",Automated diagnosis; Class activation maps (CAMs) visualization; COVID-19 classification; Deep learning; Finetuning; Stacked ensembles
"The year 2020 will certainly be remembered for the COVID-19 outbreak. First reported in Wuhan city of China back in December 2019, the number of people getting affected by this contagious virus has grown exponentially. Given the population density of India, the implementation of the mantra of the test, track, and isolate is not obtaining satisfactory results. A shortage of testing kits and an increasing number of fresh cases encouraged us to come up with a model that can aid radiologists in detecting COVID19 using chest Xray images. In the proposed framework the low level features from the Chest X-ray images are extracted using an ensemble of four pre-trained Deep Convolutional Neural Network (DCNN) architectures, namely VGGNet, GoogleNet, DenseNet, and NASNet and later on are fed to a fully connected layer for classification. The proposed multi model ensemble architecture is validated on two publicly available datasets and one private dataset. We have shown that our multi model ensemble architecture performs better than single classifier. On the publicly available dataset we have obtained an accuracy of 88.98% for three class classification and for binary class classification we report an accuracy of 98.58%. Validating the performance on private dataset we obtained an accuracy of 93.48%. The source code and the dataset are made available in the github linkhttps://github.com/sagardeepdeb/ensemble-model-for-COVID-detection. © 2021 Elsevier Ltd",CNN; COVID19; DCNN; Ensemble network
